"Statistic Label","Year","Item","UNIT","VALUE"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","2262"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","1100"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","614"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net incurrence of liabilities","Euro Million","-593"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","-636"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","43"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-19"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","70764"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","63096"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","52374"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","10723"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","3323"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","1610"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","229"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","2505"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","70236"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","64462"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","19904"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","9733"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3433"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1985"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1798"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","22608"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","3148"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1854"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net operating balance - ESA2010 Code  (NOB)","Euro Million","6302"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","5774"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","528"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net acquisition of financial assets","Euro Million","3612"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","2400"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","1023"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","188"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net incurrence of liabilities","Euro Million","3903"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","3433"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","470"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2007","Memo: Net derivative flows on debt interest swap contracts","Euro Million","4"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","64663"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","56899"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","45889"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","11010"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","3474"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","2167"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","171"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1952"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","77830"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","71054"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","21206"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","10036"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3374"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2403"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1922"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","25605"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","3511"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","2997"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net operating balance - ESA2010 Code  (NOB)","Euro Million","-6391"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","6776"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-13167"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net acquisition of financial assets","Euro Million","19266"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","18207"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","1402"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","-343"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net incurrence of liabilities","Euro Million","32872"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","32585"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","287"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2008","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-4"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","55943"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","48998"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","38730"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","10268"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","4005"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","2002"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","142"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","797"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","79461"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","76292"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","20713"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","9982"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3238"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","3416"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1889"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","28352"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2725"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","5976"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net operating balance - ESA2010 Code  (NOB)","Euro Million","-20348"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","3169"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-23517"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net acquisition of financial assets","Euro Million","2786"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","5204"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","-2357"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","-60"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net incurrence of liabilities","Euro Million","26377"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","26236"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","140"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2009","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-7"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","54864"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","47401"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","37890"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","9511"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","4746"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","2129"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","266"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","322"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","108628"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","106129"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","19293"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","9167"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3113"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","4748"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1828"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","28314"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2664"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","37001"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net operating balance - ESA2010 Code  (NOB)","Euro Million","-51265"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","2499"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-53764"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net acquisition of financial assets","Euro Million","-11415"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","-8725"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","-2387"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","-302"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net incurrence of liabilities","Euro Million","41785"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","40673"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","1112"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2010","Memo: Net derivative flows on debt interest swap contracts","Euro Million","10"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","57794"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","49848"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","38875"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","10973"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","4602"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","2473"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","262"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","610"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","81114"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","79870"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","20569"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","9218"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3132"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","5768"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1725"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","28419"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2891"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","8149"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net operating balance - ESA2010 Code  (NOB)","Euro Million","-22077"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","1243"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-23320"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net acquisition of financial assets","Euro Million","3816"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","-397"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","3707"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","506"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net incurrence of liabilities","Euro Million","25374"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","25024"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","350"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2011","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-132"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","59802"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","51733"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","40940"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","10793"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","4448"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","3068"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","254"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","299"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","74666"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","74170"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","19688"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","8719"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3190"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","7298"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1920"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","29091"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2850"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2012","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1415"
